Exposure started time stamp,Exposure ended time stamp,Wavelength,Intensity
3849.4,5003849.4,591.80541668391822,172
3849.4,5003849.4,592.231025670789,182
3849.4,5003849.4,592.65662476721388,177
3849.4,5003849.4,593.082213967523,168
3849.4,5003849.4,593.50779326604788,159
3849.4,5003849.4,593.933362657119,151
3849.4,5003849.4,594.35892213506838,174
3849.4,5003849.4,594.784471694229,186
3849.4,5003849.4,595.21001132893309,171
3849.4,5003849.4,595.63554103351385,168
3849.4,5003849.4,596.06106080230427,166
3849.4,5003849.4,596.48657062963923,154
3849.4,5003849.4,596.912070509853,171
3849.4,5003849.4,597.33756043728033,181
3849.4,5003849.4,597.76304040625621,171
3849.4,5003849.4,598.18851041111623,162
3849.4,5003849.4,598.61397044619753,145
3849.4,5003849.4,599.03942050583623,146
3849.4,5003849.4,599.46486058436892,157
3849.4,5003849.4,599.89029067613387,158
3849.4,5003849.4,600.315710775469,141
3849.4,5003849.4,600.74112087671142,172
3849.4,5003849.4,601.1665209742016,136
3849.4,5003849.4,601.59191106227843,171
3849.4,5003849.4,602.01729113528131,149
3849.4,5003849.4,602.44266118755,147
3849.4,5003849.4,602.86802121342555,169
3849.4,5003849.4,603.29337120724892,157
3849.4,5003849.4,603.71871116336206,169
3849.4,5003849.4,604.14404107610562,144
3849.4,5003849.4,604.56936093982358,157
3849.4,5003849.4,604.99467074885774,160
3849.4,5003849.4,605.41997049755128,150
3849.4,5003849.4,605.84526018024894,142
3849.4,5003849.4,606.27053979129346,139
3849.4,5003849.4,606.69580932503,140
3849.4,5003849.4,607.12106877580447,154
3849.4,5003849.4,607.54631813796072,150
3849.4,5003849.4,607.971557405846,140
3849.4,5003849.4,608.396786573806,143
3849.4,5003849.4,608.82200563618778,140
3849.4,5003849.4,609.24721458733882,136
3849.4,5003849.4,609.67241342160628,135
3849.4,5003849.4,610.09760213333857,142
3849.4,5003849.4,610.52278071688454,146
3849.4,5003849.4,610.94794916659293,128
3849.4,5003849.4,611.373107476814,147
3849.4,5003849.4,611.79825564189662,146
3849.4,5003849.4,612.22339365619166,143
3849.4,5003849.4,612.64852151405023,140
3849.4,5003849.4,613.07363920982357,122
3849.4,5003849.4,613.4987467378628,143
3849.4,5003849.4,613.923844092521,128
3849.4,5003849.4,614.34893126815052,130
3849.4,5003849.4,614.77400825910433,160
3849.4,5003849.4,615.19907505973617,155
3849.4,5003849.4,615.6241316643999,149
3849.4,5003849.4,616.04917806745038,138
3849.4,5003849.4,616.47421426324252,144
3849.4,5003849.4,616.89924024613151,127
3849.4,5003849.4,617.32425601047271,143
3849.4,5003849.4,617.749261550623,155
3849.4,5003849.4,618.17425686093941,164
